transaction_id,bank_ref,match_type
pay_1541964762,,missing_on_bank
pay_2802141793,BNK90129,exact_or_tolerant
pay_5461537013,,missing_on_bank_with_decoy
DECOY_FOR_pay_5461537013,BNK90130,decoy_no_gateway_counterpart
pay_5576790020,BNK90131,exact_or_tolerant
pay_6894699853,BNK90132,duplicate_pair
pay_6894699853,BNK90133,duplicate_pair
pay_3204526134,BNK90134,exact_or_tolerant
pay_3510353238,BNK90135,exact_or_tolerant
pay_7872090713,,missing_on_bank
pay_8180620422,BNK90136,duplicate_pair
pay_8180620422,BNK90137,duplicate_pair
pay_6717963562,BNK90138,exact_or_tolerant
pay_7139268005,BNK90139,exact_or_tolerant
pay_5491326131,BNK90140,exact_or_tolerant
pay_5823943986,BNK90141,duplicate_pair
pay_5823943986,BNK90142,duplicate_pair
pay_6588252632,BNK90143,duplicate_pair
pay_6588252632,BNK90144,duplicate_pair
pay_9759180824,BNK90145,exact_or_tolerant
pay_6542943838,BNK90146,exact_or_tolerant
pay_8948573913,,missing_on_bank
pay_3655316364,BNK90147,exact_or_tolerant
pay_3177244907,,missing_on_bank
pay_8033172680,BNK90148,exact_or_tolerant
pay_9125023089,BNK90149,exact_or_tolerant
pay_1862812038,BNK90150,duplicate_pair
pay_1862812038,BNK90151,duplicate_pair
pay_4471642620,BNK90152,exact_or_tolerant
pay_3853978147,BNK90153,duplicate_pair
pay_3853978147,BNK90154,duplicate_pair
pay_6558450990,BNK90155,exact_or_tolerant
pay_2537965898,,missing_on_bank_with_decoy
DECOY_FOR_pay_2537965898,BNK90156,decoy_no_gateway_counterpart
pay_8604215219,,missing_on_bank
pay_9899689747,BNK90157,exact_or_tolerant
pay_3159668272,BNK90158,duplicate_pair
pay_3159668272,BNK90159,duplicate_pair
pay_3384006407,BNK90160,exact_or_tolerant
pay_4329446784,BNK90161,exact_or_tolerant
pay_2541015125,,missing_on_bank
pay_6041646576,BNK90162,exact_or_tolerant
pay_1645277642,BNK90163,exact_or_tolerant
pay_2136107759,,missing_on_bank
pay_3474420092,BNK90164,exact_or_tolerant
pay_7597520265,BNK90165,duplicate_pair
pay_7597520265,BNK90166,duplicate_pair
pay_1430693397,BNK90167,exact_or_tolerant
pay_7532669066,BNK90168,exact_or_tolerant
pay_9576264323,BNK90169,exact_or_tolerant
pay_6046735986,BNK90170,duplicate_pair
pay_6046735986,BNK90171,duplicate_pair
pay_7341757401,BNK90172,exact_or_tolerant
pay_3636366799,BNK90173,exact_or_tolerant
pay_7453081889,BNK90174,exact_or_tolerant
pay_7437168216,BNK90175,exact_or_tolerant
pay_7384985150,BNK90176,exact_or_tolerant
pay_4895849088,BNK90177,exact_or_tolerant
pay_1904397668,BNK90178,exact_or_tolerant
pay_7587552692,BNK90179,exact_or_tolerant
pay_4422089886,BNK90180,exact_or_tolerant
pay_1294050451,BNK90181,exact_or_tolerant
pay_7099897373,BNK90182,exact_or_tolerant
pay_5271497065,BNK90183,exact_or_tolerant
pay_5180180262,BNK90184,duplicate_pair
pay_5180180262,BNK90185,duplicate_pair
pay_5551699520,BNK90186,exact_or_tolerant
pay_6788175717,BNK90187,duplicate_pair
pay_6788175717,BNK90188,duplicate_pair
pay_4096686730,BNK90189,exact_or_tolerant
pay_8886846400,,missing_on_bank
pay_7944675764,BNK90190,duplicate_pair
pay_7944675764,BNK90191,duplicate_pair
pay_3343446878,BNK90192,exact_or_tolerant
pay_9999520085,BNK90193,exact_or_tolerant
pay_3996893560,BNK90194,exact_or_tolerant
pay_4272906474,BNK90195,exact_or_tolerant
pay_8600723288,,missing_on_bank
pay_8817415821,BNK90196,exact_or_tolerant
pay_7949105797,BNK90197,exact_or_tolerant
pay_9447304615,,missing_on_bank
pay_2203423402,BNK90198,exact_or_tolerant
pay_4704785815,BNK90199,duplicate_pair
pay_4704785815,BNK90200,duplicate_pair
pay_6597837495,BNK90201,exact_or_tolerant
pay_6354895816,BNK90202,exact_or_tolerant
pay_7690274631,BNK90203,duplicate_pair
pay_7690274631,BNK90204,duplicate_pair
pay_5876105046,BNK90205,exact_or_tolerant
pay_2634694666,BNK90206,exact_or_tolerant
pay_3119423746,BNK90207,duplicate_pair
pay_3119423746,BNK90208,duplicate_pair
pay_4953022176,,missing_on_bank
pay_6528427385,BNK90209,exact_or_tolerant
pay_3301610601,BNK90210,duplicate_pair
pay_3301610601,BNK90211,duplicate_pair
pay_6461039810,BNK90212,exact_or_tolerant
pay_8625857078,,missing_on_bank
pay_8497100471,BNK90213,exact_or_tolerant
pay_8748133196,BNK90214,exact_or_tolerant
pay_3291300350,BNK90215,exact_or_tolerant
pay_7241803245,BNK90216,exact_or_tolerant
pay_2912189154,BNK90217,duplicate_pair
pay_2912189154,BNK90218,duplicate_pair
pay_7777163837,BNK90219,exact_or_tolerant
,BNK90220,bank_only_no_gateway
,BNK90221,bank_only_no_gateway
,BNK90222,bank_only_no_gateway
,BNK90223,bank_only_no_gateway
,BNK90224,bank_only_no_gateway
,BNK90225,bank_only_no_gateway
,BNK90226,bank_only_no_gateway
,BNK90227,bank_only_no_gateway
,BNK90228,bank_only_no_gateway
,BNK90229,bank_only_no_gateway
,BNK90230,bank_only_no_gateway
,BNK90231,bank_only_no_gateway
