transaction_id,rule,result,bank_ref
pay_7453081889,exact_utr_in_narration,matched,BNK90174
pay_7437168216,exact_utr_in_narration,matched,BNK90175
pay_7384985150,exact_utr_in_narration,matched,BNK90176
pay_4895849088,exact_utr_in_narration,matched,BNK90177
pay_1904397668,exact_utr_in_narration,matched,BNK90178
pay_7587552692,exact_utr_in_narration,matched,BNK90179
pay_4422089886,exact_utr_in_narration,matched,BNK90180
pay_1294050451,exact_utr_in_narration,matched,BNK90181
pay_7099897373,exact_utr_in_narration,matched,BNK90182
pay_5271497065,exact_utr_in_narration,matched,BNK90183
pay_5180180262,exact_utr_in_narration,ambiguous_multiple_hits,
pay_5551699520,exact_utr_in_narration,matched,BNK90186
pay_6788175717,exact_utr_in_narration,ambiguous_multiple_hits,
pay_4096686730,exact_utr_in_narration,matched,BNK90189
pay_7944675764,exact_utr_in_narration,ambiguous_multiple_hits,
pay_3343446878,exact_utr_in_narration,matched,BNK90192
pay_9999520085,exact_utr_in_narration,matched,BNK90193
pay_3996893560,exact_utr_in_narration,matched,BNK90194
pay_4272906474,exact_utr_in_narration,matched,BNK90195
pay_8817415821,exact_utr_in_narration,matched,BNK90196
pay_7949105797,exact_utr_in_narration,matched,BNK90197
pay_2203423402,exact_utr_in_narration,matched,BNK90198
pay_4704785815,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6597837495,exact_utr_in_narration,matched,BNK90201
pay_6354895816,exact_utr_in_narration,matched,BNK90202
pay_7690274631,exact_utr_in_narration,ambiguous_multiple_hits,
pay_5876105046,exact_utr_in_narration,matched,BNK90205
pay_2634694666,exact_utr_in_narration,matched,BNK90206
pay_3119423746,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6528427385,exact_utr_in_narration,matched,BNK90209
pay_3301610601,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6461039810,exact_utr_in_narration,matched,BNK90212
pay_8497100471,exact_utr_in_narration,matched,BNK90213
pay_8748133196,exact_utr_in_narration,matched,BNK90214
pay_3291300350,exact_utr_in_narration,matched,BNK90215
pay_7241803245,exact_utr_in_narration,matched,BNK90216
pay_2912189154,exact_utr_in_narration,ambiguous_multiple_hits,
pay_7777163837,exact_utr_in_narration,matched,BNK90219
pay_1240251661,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_2554762903,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_7867414708,tolerant_amount_date,matched,BNK90007
pay_3363629219,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_9303285822,tolerant_amount_date,no_candidate_found,
pay_5962610986,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_4218981849,tolerant_amount_date,no_candidate_found,
pay_6600100279,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_5816198518,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_6928691380,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_3799264931,tolerant_amount_date,matched,BNK90027
pay_7371573279,tolerant_amount_date,no_candidate_found,
pay_6756711494,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_1111088881,tolerant_amount_date,matched,BNK90034
pay_1730074215,tolerant_amount_date,matched,BNK90040
pay_9733234156,tolerant_amount_date,no_candidate_found,
pay_3946766309,tolerant_amount_date,no_candidate_found,
pay_6218484323,tolerant_amount_date,no_candidate_found,
pay_7098134112,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_6128260438,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_5983503547,tolerant_amount_date,no_candidate_found,
pay_9776913529,tolerant_amount_date,matched,BNK90060
pay_2087974350,tolerant_amount_date,matched,BNK90061
pay_6850392220,tolerant_amount_date,no_candidate_found,
pay_5800746936,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_7552812957,tolerant_amount_date,no_candidate_found,
pay_7026930365,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_8139209752,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_6656646925,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_5973319056,tolerant_amount_date,matched,BNK90077
pay_8601409432,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_9470922075,tolerant_amount_date,matched,BNK90086
pay_3400244542,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_7088451458,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_9842186844,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_6265016831,tolerant_amount_date,no_candidate_found,
pay_4947728706,tolerant_amount_date,matched,BNK90094
pay_3986257683,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_2699013395,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_9989974968,tolerant_amount_date,no_candidate_found,
pay_8923555411,tolerant_amount_date,matched,BNK90118
pay_7235936374,tolerant_amount_date,no_candidate_found,
pay_4794276323,tolerant_amount_date,matched,BNK90122
pay_1541964762,tolerant_amount_date,no_candidate_found,
pay_5461537013,tolerant_amount_date,matched,BNK90130
pay_6894699853,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_7872090713,tolerant_amount_date,no_candidate_found,
pay_8180620422,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_5823943986,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_6588252632,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_8948573913,tolerant_amount_date,no_candidate_found,
pay_3177244907,tolerant_amount_date,no_candidate_found,
pay_1862812038,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_3853978147,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_2537965898,tolerant_amount_date,matched,BNK90156
pay_8604215219,tolerant_amount_date,no_candidate_found,
pay_3159668272,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_2541015125,tolerant_amount_date,no_candidate_found,
pay_2136107759,tolerant_amount_date,no_candidate_found,
pay_7597520265,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_6046735986,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_5180180262,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_6788175717,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_8886846400,tolerant_amount_date,no_candidate_found,
pay_7944675764,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_8600723288,tolerant_amount_date,no_candidate_found,
pay_9447304615,tolerant_amount_date,no_candidate_found,
pay_4704785815,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_7690274631,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_3119423746,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_4953022176,tolerant_amount_date,no_candidate_found,
pay_3301610601,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
pay_8625857078,tolerant_amount_date,no_candidate_found,
pay_2912189154,tolerant_amount_date,ambiguous_2_candidates -> escalate_to_llm,
