transaction_id,bank_ref,match_type,confidence,amount_diff,date_diff_days
pay_5073211715,BNK90124,exact_utr,1.0,0.0,0
pay_3429019820,BNK90125,exact_utr,1.0,0.0,0
pay_6952554500,BNK90126,exact_utr,1.0,2.72,0
pay_6504099682,BNK90127,exact_utr,1.0,0.0,1
pay_7539441086,BNK90128,exact_utr,1.0,0.0,0
pay_2802141793,BNK90129,exact_utr,1.0,0.0,0
pay_5576790020,BNK90131,exact_utr,1.0,0.0,0
pay_3204526134,BNK90134,exact_utr,1.0,0.0,0
pay_3510353238,BNK90135,exact_utr,1.0,0.0,2
pay_6717963562,BNK90138,exact_utr,1.0,0.0,2
pay_7139268005,BNK90139,exact_utr,1.0,0.0,2
pay_5491326131,BNK90140,exact_utr,1.0,0.0,0
pay_9759180824,BNK90145,exact_utr,1.0,0.0,0
pay_6542943838,BNK90146,exact_utr,1.0,0.0,1
pay_3655316364,BNK90147,exact_utr,1.0,0.0,0
pay_8033172680,BNK90148,exact_utr,1.0,0.0,0
pay_9125023089,BNK90149,exact_utr,1.0,0.0,2
pay_4471642620,BNK90152,exact_utr,1.0,0.0,2
pay_6558450990,BNK90155,exact_utr,1.0,0.0,2
pay_9899689747,BNK90157,exact_utr,1.0,2.25,2
pay_3384006407,BNK90160,exact_utr,1.0,0.0,0
pay_4329446784,BNK90161,exact_utr,1.0,0.0,2
pay_6041646576,BNK90162,exact_utr,1.0,0.0,2
pay_1645277642,BNK90163,exact_utr,1.0,0.64,2
pay_3474420092,BNK90164,exact_utr,1.0,0.0,0
pay_1430693397,BNK90167,exact_utr,1.0,0.0,1
pay_7532669066,BNK90168,exact_utr,1.0,0.0,0
pay_9576264323,BNK90169,exact_utr,1.0,0.0,1
pay_7341757401,BNK90172,exact_utr,1.0,0.0,0
pay_3636366799,BNK90173,exact_utr,1.0,0.0,1
pay_7453081889,BNK90174,exact_utr,1.0,0.0,2
pay_7437168216,BNK90175,exact_utr,1.0,0.0,0
pay_7384985150,BNK90176,exact_utr,1.0,0.0,0
pay_4895849088,BNK90177,exact_utr,1.0,0.0,0
pay_1904397668,BNK90178,exact_utr,1.0,0.0,0
pay_7587552692,BNK90179,exact_utr,1.0,0.0,1
pay_4422089886,BNK90180,exact_utr,1.0,0.0,2
pay_1294050451,BNK90181,exact_utr,1.0,0.0,0
pay_7099897373,BNK90182,exact_utr,1.0,0.0,0
pay_5271497065,BNK90183,exact_utr,1.0,0.0,0
pay_5551699520,BNK90186,exact_utr,1.0,0.0,1
pay_4096686730,BNK90189,exact_utr,1.0,0.0,1
pay_3343446878,BNK90192,exact_utr,1.0,0.0,0
pay_9999520085,BNK90193,exact_utr,1.0,1.3,1
pay_3996893560,BNK90194,exact_utr,1.0,0.0,1
pay_4272906474,BNK90195,exact_utr,1.0,0.0,0
pay_8817415821,BNK90196,exact_utr,1.0,0.65,2
pay_7949105797,BNK90197,exact_utr,1.0,0.0,2
pay_2203423402,BNK90198,exact_utr,1.0,0.0,0
pay_6597837495,BNK90201,exact_utr,1.0,0.0,1
pay_6354895816,BNK90202,exact_utr,1.0,0.0,1
pay_5876105046,BNK90205,exact_utr,1.0,0.0,1
pay_2634694666,BNK90206,exact_utr,1.0,2.64,0
pay_6528427385,BNK90209,exact_utr,1.0,0.0,0
pay_6461039810,BNK90212,exact_utr,1.0,0.0,1
pay_8497100471,BNK90213,exact_utr,1.0,0.0,2
pay_8748133196,BNK90214,exact_utr,1.0,0.0,0
pay_3291300350,BNK90215,exact_utr,1.0,0.0,0
pay_7241803245,BNK90216,exact_utr,1.0,0.0,1
pay_7777163837,BNK90219,exact_utr,1.0,0.0,2
pay_7867414708,BNK90007,tolerant_amount_date,0.85,0.0,0
pay_3799264931,BNK90027,tolerant_amount_date,0.85,0.0,0
pay_1111088881,BNK90034,tolerant_amount_date,0.85,0.0,1
pay_1730074215,BNK90040,tolerant_amount_date,0.85,0.0,1
pay_9776913529,BNK90060,tolerant_amount_date,0.85,0.0,1
pay_2087974350,BNK90061,tolerant_amount_date,0.85,0.0,1
pay_5973319056,BNK90077,tolerant_amount_date,0.85,0.0,0
pay_9470922075,BNK90086,tolerant_amount_date,0.85,0.0,0
pay_4947728706,BNK90094,tolerant_amount_date,0.85,0.0,1
pay_8923555411,BNK90118,tolerant_amount_date,0.85,0.0,0
pay_4794276323,BNK90122,tolerant_amount_date,0.85,0.0,1
pay_5461537013,BNK90130,tolerant_amount_date,0.85,0.0,1
pay_2537965898,BNK90156,tolerant_amount_date,0.85,0.0,0
